year,month,day,hour,minute,second,millisecond,value
2016,9,12,12,0,0,0,-0.04
2016,9,12,12,0,0,4,-0.055
2016,9,12,12,0,0,8,-0.06
2016,9,12,12,0,0,12,-0.04
2016,9,12,12,0,0,16,-0.03
2016,9,12,12,0,0,20,-0.025
2016,9,12,12,0,0,24,-0.04
2016,9,12,12,0,0,28,-0.045
2016,9,12,12,0,0,32,-0.045
2016,9,12,12,0,0,36,-0.03
2016,9,12,12,0,0,40,-0.04
2016,9,12,12,0,0,44,-0.04
2016,9,12,12,0,0,48,-0.03
2016,9,12,12,0,0,52,-0.02
2016,9,12,12,0,0,56,-0.01
2016,9,12,12,0,0,60,-0.04
2016,9,12,12,0,0,64,-0.01
2016,9,12,12,0,0,68,-0.035
2016,9,12,12,0,0,72,-0.045
2016,9,12,12,0,0,76,-0.06
2016,9,12,12,0,0,80,-0.045
2016,9,12,12,0,0,84,-0.06
2016,9,12,12,0,0,88,-0.04
2016,9,12,12,0,0,92,-0.04
2016,9,12,12,0,0,96,-0.01
2016,9,12,12,0,0,100,-0.03
2016,9,12,12,0,0,104,-0.035
2016,9,12,12,0,0,108,-0.04
2016,9,12,12,0,0,112,-0.035
2016,9,12,12,0,0,116,-0.055
2016,9,12,12,0,0,120,-0.055
2016,9,12,12,0,0,124,-0.055
2016,9,12,12,0,0,128,-0.055
2016,9,12,12,0,0,132,-0.045
2016,9,12,12,0,0,136,-0.035
2016,9,12,12,0,0,140,-0.03
2016,9,12,12,0,0,144,-0.035
2016,9,12,12,0,0,148,-0.045
2016,9,12,12,0,0,152,-0.055
2016,9,12,12,0,0,156,-0.06
2016,9,12,12,0,0,160,-0.06
2016,9,12,12,0,0,164,-0.05
2016,9,12,12,0,0,168,-0.055
2016,9,12,12,0,0,172,-0.05
2016,9,12,12,0,0,176,-0.065
2016,9,12,12,0,0,180,-0.06
2016,9,12,12,0,0,184,-0.06
2016,9,12,12,0,0,188,-0.065
2016,9,12,12,0,0,192,-0.05
2016,9,12,12,0,0,196,-0.045
2016,9,12,12,0,0,200,-0.05
2016,9,12,12,0,0,204,-0.05
2016,9,12,12,0,0,208,-0.045
2016,9,12,12,0,0,212,-0.045
2016,9,12,12,0,0,216,-0.05
2016,9,12,12,0,0,220,-0.025
2016,9,12,12,0,0,224,-0.06
2016,9,12,12,0,0,228,-0.045
2016,9,12,12,0,0,232,-0.03
2016,9,12,12,0,0,236,-0.05
2016,9,12,12,0,0,240,-0.06
2016,9,12,12,0,0,244,-0.055
2016,9,12,12,0,0,248,-0.06
2016,9,12,12,0,0,252,-0.05
2016,9,12,12,0,0,256,-0.05
2016,9,12,12,0,0,260,-0.055
2016,9,12,12,0,0,264,-0.05
2016,9,12,12,0,0,268,-0.04
2016,9,12,12,0,0,272,-0.055
2016,9,12,12,0,0,276,-0.055
2016,9,12,12,0,0,280,-0.065
2016,9,12,12,0,0,284,-0.04
2016,9,12,12,0,0,288,-0.07
2016,9,12,12,0,0,292,-0.045
2016,9,12,12,0,0,296,-0.065
2016,9,12,12,0,0,300,-0.065
2016,9,12,12,0,0,304,-0.075
2016,9,12,12,0,0,308,-0.07
2016,9,12,12,0,0,312,-0.095
2016,9,12,12,0,0,316,-0.095
2016,9,12,12,0,0,320,-0.08
